央视,#genre#
广东卫视,http://www.waverjiang.fun:4088/rtp/239.11.0.115:5140

北京卫视,http://tom028.top:55555/rtp/239.93.0.180:5140
湖南卫视,http://tom028.top:55555/rtp/239.93.0.88:5140
江苏卫视,http://tom028.top:55555/rtp/239.93.0.89:5140
浙江卫视,http://tom028.top:55555/rtp/239.93.0.124:5140
安徽卫视,http://tom028.top:55555/rtp/239.93.1.106:5140
东方卫视,http://tom028.top:55555/rtp/239.93.0.123:5140
东南卫视,http://tom028.top:55555/rtp/239.93.0.42:5140
四川卫视,http://tom028.top:55555/rtp/239.93.0.20:1235
天津卫视,http://tom028.top:55555/rtp/239.93.0.167:5140
山东卫视,http://tom028.top:55555/rtp/239.93.0.168:5140
江西卫视,http://tom028.top:55555/rtp/239.93.0.134:5140
黑龙江卫视,http://tom028.top:55555/rtp/239.93.0.183:5140
重庆卫视,http://tom028.top:55555/rtp/239.93.1.107:5140
湖北卫视,http://tom028.top:55555/rtp/239.93.0.250:5140
河北卫视,http://tom028.top:55555/rtp/239.93.0.132:5140
辽宁卫视,http://tom028.top:55555/rtp/239.93.1.108:5140
河南卫视,http://tom028.top:55555/rtp/239.93.42.45:5140
广西卫视,http://tom028.top:55555/rtp/239.93.42.46:5140
吉林卫视,http://tom028.top:55555/rtp/239.93.0.248:5140
深圳卫视,http://tom028.top:55555/rtp/239.93.0.182:5140
广东卫视,http://tom028.top:55555/rtp/239.93.0.181:5140

北京卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.107:5140
浙江卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.100:5140
湖南卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.103:5140
江苏卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.106:5140
安徽卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.113:5140
东方卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.125:5140
东南卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.146:5140
天津卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.104:5140
山东卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.105:5140
四川卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.139:5140
河北卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.140:5140
辽宁卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.141:5140
重庆卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.143:5140
河南卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.144:5140
江西卫视,http://home8.youyisizhekou.com:8888/rtp/233.50.201.145:5140
